Player,Faction,Faction Detachment,Primary,Secondary,Unique Faction List,Chapter,ChapterDetachment,Unique Chapter List,Mono-Faction?,Custom Trait1,Custom Trait2,Wins,Losses,Draws,Games,Avg VP,Avg Oppon VP,Win Percentage,Pure Win Percentage,Games by Primary,Games by Secondary,Games Mono,Primary Wins,Primary Loss,Primary Draw,Win % By Faction,VP by Faction,Opp VP by Faction,Win % By Primary,Win % by Chapter,VP by Primary,Top List,ITC 100,Tournament,Missions,Ruleset,Date
Jason Merten,Adepta Sororitas,1,,1,,Adeptus Ministorum,1,1,,,,4,2,0,6,72.00,55.83,66.67%,,,6,,,,,,,,,66.67%,,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Bernt Tromsdal,Chaos Space Marines,1,,1,,Alpha Legion,1,1,,,,2,3,0,5,62.20,57.40,40.00%,,,5,,,,,,,,,40.00%,,No,,Invasion GT,GT Pack,9th Open,12-Sep
Stian Bruras-Leine,Chaos Space Marines,1,,1,1,Alpha Legion,1,1,,,,1,4,0,5,57.20,82.00,20.00%,,,5,,,,,0.20,57.20,82.00,,20.00%,,No,,Invasion GT,GT Pack,9th Open,12-Sep
Tomas Christensson,Chaos Space Marines,1,,1,,Alpha Legion,1,1,,,,2,3,0,5,76.80,74.80,40.00%,,,5,,,,,,,,,40.00%,,No,,WCT GT 2,GT Pack,9th Open,26-Sep
James Castles,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,Mono,,,1,4,0,5,51.20,70.40,20.00%,20.00%,5,,5,1,4,0,0.20,51.20,70.40,20.00%,20.00%,51.20,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Joseph Hancock,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,,,,1,4,0,5,38.60,59.80,20.00%,,5,,,1,4,0,0.20,38.60,59.80,20.00%,20.00%,38.60,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Nick Moran,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,,,,2,3,0,5,73.20,67.40,40.00%,,5,,,2,3,0,0.40,73.20,67.40,40.00%,40.00%,73.20,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Jimmy Pettersson,Chaos Space Marines,1,,1,1,Alpha Legion,1,1,,,,5,0,0,5,15.60,4.40,100.00%,,,5,,,,,1.00,15.60,4.40,,100.00%,,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Damian Legan,Chaos Space Marines,1,,1,1,Alpha Legion,1,1,,,,2,3,0,5,44.00,65.60,40.00%,,,5,,,,,0.40,44.00,65.60,,40.00%,,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Jamil Seif,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,mono,,,3,2,0,5,63.40,55.40,60.00%,60.00%,5,,5,3,2,0,0.60,63.40,55.40,60.00%,60.00%,63.40,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Robert Linkert,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,Mono,,,2,3,0,5,51.60,56.40,40.00%,40.00%,5,,5,2,3,0,0.40,51.60,56.40,40.00%,40.00%,51.60,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Robert Linkert,Chaos Space Marines,1,,1,,Alpha Legion,1,,,,,2,3,0,5,51.60,56.40,40.00%,,,5,,,,,,,,,,,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
James Miller,Astra Militarum,1,1,,1,Armageddon,1,1,Mono,,,3,3,0,6,69.83,86.67,50.00%,50.00%,6,,6,3,3,0,0.50,69.83,86.67,50.00%,50.00%,69.83,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Aaron Scherer,Ynnari,1,,1,1,Asuryani Reborn,1,1,,,,3,3,0,6,58.83,77.17,50.00%,,,6,,,,,0.50,58.83,77.17,,50.00%,,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
James Kelling,Ynnari,1,,1,1,Asuryani Reborn,1,1,,,,3,3,0,6,80.67,62.17,50.00%,,,6,,,,,0.50,80.67,62.17,,50.00%,,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Matt Evans,Tyranids,1,,1,,Behemoth,1,1,,,,4,2,0,6,66.00,76.67,66.67%,,,6,,,,,,,,,66.67%,,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Björn Sjöström,Tyranids,1,1,,1,behemoth,1,1,Mono,,,2,3,0,5,8.00,12.00,40.00%,40.00%,5,,5,2,3,0,0.40,8.00,12.00,40.00%,40.00%,8.00,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Björn Sjöström,Tyranids,1,,1,,behemoth,1,,,,,2,3,0,5,8.00,12.00,40.00%,,,5,,,,,,,,,,,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Sebastian Kruuse Ar Verchou,Chaos Space Marines,1,1,,1,Black Legion,1,1,Mono,,,2,3,0,5,72.20,69.20,40.00%,40.00%,5,,5,2,3,0,0.40,72.20,69.20,40.00%,40.00%,72.20,No,,Varberg GT,GT Pack,9th Open,28-Aug
Austin Wingfield,Chaos Space Marines,1,1,,1,Black Legion,1,1,Mono,,,4,1,0,5,71.20,58.00,80.00%,80.00%,5,,5,4,1,0,0.80,71.20,58.00,80.00%,80.00%,71.20,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Sondre Skar,Chaos Space Marines,1,1,,1,Black Legion,1,1,Mono,,,3,2,0,5,62.20,76.20,60.00%,60.00%,5,,5,3,2,0,0.60,62.20,76.20,60.00%,60.00%,62.20,No,,Invasion GT,GT Pack,9th Open,12-Sep
Jonathan Webb,Chaos Space Marines,1,1,,1,Black Legion,1,1,,,,1,4,0,5,51.80,74.20,20.00%,,5,,,1,4,0,0.20,51.80,74.20,20.00%,20.00%,51.80,No,,Brisbane GT,GT Pack,9th Open,19-Sep
